,20_17232204986491.png,20_17232205256491.png,20_17232205456491.png,20_17232205306491.png,20_17232205236491.png,20_17232205516491.png,20_17232205766491.png,20_17232205206491.png,20_17232205746491.png
0,#,D,#,#,#,A,#,#,#
1,#,D,#,#,#,B,#,#,#
2,#,B,#,#,#,D,#,#,#
3,#,B,#,#,#,B,#,#,#
4,#,C,#,#,#,B,#,#,#
5,#,C,#,#,#,B,#,#,#
6,#,B,#,#,#,C,#,#,#
7,#,B,#,#,#,#,#,#,#
8,#,D,#,#,#,#,#,#,#
9,#,B,#,#,#,#,#,#,#
10,#,D,#,#,#,#,#,#,#
11,#,C,#,#,#,#,#,#,#
12,#,B,#,#,#,#,#,#,#
13,#,D,#,#,#,#,#,#,#
14,#,D,#,#,#,#,#,#,#
15,#,B,#,#,#,#,#,#,#
16,#,C,#,#,#,#,#,#,#
17,#,B,#,#,#,#,#,#,#
18,#,A,#,#,#,#,#,#,#
19,#,B,#,#,#,#,#,#,#
20,C,D,C,A,D,A,B,#,D
21,D,D,D,B,D,B,D,#,A
22,A,B,A,A,A,D,A,#,D
23,B,B,B,B,B,B,B,#,A
24,B,C,B,B,B,B,B,#,D
25,C,C,B,C,C,B,C,#,B
26,B,B,A,D,B,C,D,#,D
27,A,B,C,C,A,A,A,#,D
28,C,D,B,D,A,E,C,#,D
29,A,B,B,B,C,A,B,#,C
30,D,D,D,B,D,D,D,#,D
31,C,C,C,D,C,C,C,#,C
32,D,B,D,D,D,D,D,#,C
33,D,D,A,C,C,C,C,#,D
34,C,D,B,D,C,B,C,#,C
35,B,B,B,B,B,B,A,#,A
36,D,C,D,D,E,E,D,#,D
37,A,B,A,B,A,A,A,#,B
38,A,A,A,A,A,A,A,#,A
39,B,B,B,B,B,C,D,#,B
40,C,C,C,A,B,B,C,#,D
41,D,C,A,E,D,B,C,#,D
42,B,B,B,B,B,B,B,#,B
43,B,B,B,B,B,C,B,#,D
44,B,C,B,B,B,C,B,#,C
45,B,A,C,A,B,A,C,#,D
46,C,C,C,A,C,A,A,#,C
47,C,C,A,A,C,D,D,#,B
48,A,B,B,A,D,E,B,#,E
49,B,C,B,A,B,C,B,#,C
50,C,B,B,B,D,C,C,#,D
51,E,B,A,A,E,B,B,#,C
